

   1                   : lake code
GCL                 Rankin - Hanslit Survey (HS testing)
001129                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80. Adjusted for size selectivity.

depth / transect / targets / %sockeye / %stickleback

  3-5   7      0  0.00  0.00
  3-5   8      0  0.00  0.00
  3-5   9      0  0.00  0.00
  3-5  10      0  0.00  0.00
  3-5  11      0  0.00  0.00
  3-5  12      0  0.00  0.00
  3-5  13      0  0.00  0.00
  3-5  14      0  0.00  0.00
  3-5  15      0  0.00  0.00
  3-5  16      0  0.00  0.00
  3-5  17      0  0.00  0.00
  3-5  18      0  0.00  0.00
 5-10   1      6  0.96  0.04
 5-10   2      9  0.96  0.04
 5-10   3      4  0.96  0.04
 5-10   4      5  0.96  0.04
 5-10   5      2  0.96  0.04
 5-10   6     10  0.96  0.04
 5-10   7      7  0.96  0.04
 5-10   8      6  0.96  0.04
 5-10   9     22  0.96  0.04
 5-10  10      5  0.96  0.04
 5-10  11     11  0.96  0.04
 5-10  12      7  0.96  0.04
 5-10  13     10  0.96  0.04
 5-10  14      9  0.96  0.04
 5-10  15      0  0.00  0.00
 5-10  16      0  0.00  0.00
 5-10  17      9  0.96  0.04
 5-10  18     11  0.96  0.04
10-15   1      7  0.96  0.04
10-15   2     17  0.96  0.04
10-15   3      4  0.96  0.04
10-15   4      8  0.96  0.04
10-15   5      9  0.96  0.04
10-15   6     58  0.96  0.04
10-15   7     49  0.96  0.04
10-15   8      9  0.96  0.04
10-15   9     20  0.96  0.04
10-15  10      7  0.96  0.04
10-15  11     18  0.96  0.04
10-15  12     46  0.96  0.04
10-15  13    114  0.96  0.04
10-15  14     49  0.96  0.04
10-15  15      0  0.00  0.00
10-15  16      0  0.00  0.00
10-15  17     43  0.96  0.04
10-15  18     28  0.96  0.04
15-20   1      9  0.96  0.04
15-20   2    101  0.96  0.04
15-20   3     66  0.96  0.04
15-20   4     40  0.96  0.04
15-20   5    103  0.96  0.04
15-20   6    181  0.96  0.04
15-20   7     64  0.96  0.04
15-20   8     11  0.96  0.04
15-20   9    171  0.96  0.04
15-20  10    146  0.96  0.04
15-20  11    204  0.96  0.04
15-20  12    446  0.96  0.04
15-20  13    229  0.96  0.04
15-20  14     71  0.96  0.04
15-20  15      0  0.00  0.00
15-20  16      0  0.00  0.00
15-20  17    256  0.96  0.04
15-20  18    406  0.96  0.04
20-30   1     44  0.96  0.04
20-30   2     79  0.96  0.04
20-30   3    184  0.96  0.04
20-30   4    171  0.96  0.04
20-30   5    189  0.96  0.04
20-30   6    114  0.96  0.04
20-30   7     80  0.96  0.04
20-30   8    181  0.96  0.04
20-30   9    212  0.96  0.04
20-30  10    310  0.96  0.04
20-30  11    541  0.96  0.04
20-30  12    404  0.96  0.04
20-30  13    161  0.96  0.04
20-30  14     74  0.96  0.04
20-30  15      0  0.00  0.00
20-30  16      0  0.00  0.00
20-30  17    230  0.96  0.04
20-30  18    423  0.96  0.04
30-40   1      2  0.96  0.04
30-40   2      7  0.96  0.04
30-40   3     10  0.96  0.04
30-40   4      4  0.96  0.04
30-40   5     19  0.96  0.04
30-40   6     33  0.96  0.04
30-40   7     42  0.96  0.04
30-40   8      5  0.96  0.04
30-40   9     23  0.96  0.04
30-40  10     16  0.96  0.04
30-40  11     51  0.96  0.04
30-40  12    116  0.96  0.04
30-40  13    104  0.96  0.04
30-40  14     49  0.96  0.04
30-40  15      0  0.00  0.00
30-40  16      0  0.00  0.00
30-40  17    114  0.96  0.04
30-40  18     96  0.96  0.04
40-50   1      0  0.00  0.00
40-50   2      0  0.00  0.00
40-50   3      0  0.00  0.00
40-50   4      0  0.00  0.00
40-50   5      0  0.00  0.00
40-50   6      0  0.00  0.00
40-50   7      0  0.00  0.00
40-50   8      0  0.00  0.00
40-50   9      0  0.00  0.00
40-50  10      0  0.00  0.00
40-50  11      0  0.00  0.00
40-50  12      0  0.00  0.00
40-50  13      0  0.00  0.00
40-50  14      0  0.00  0.00
40-50  15      0  0.00  0.00
40-50  16      0  0.00  0.00
40-50  17      0  0.00  0.00
40-50  18      0  0.00  0.00
