"species_common_name","lake_name","sample_counts","min(fish_length_mm)","mean(fish_length_mm)","max(fish_length_mm)","min(fish_weight_g)","mean(fish_weight_g)","max(fish_weight_g)"
NA,"Hobiton Lake",7,NA,NA,NA,NA,NA,NA
NA,"Ian Lake",7,NA,NA,NA,NA,NA,NA
NA,"Jansen Lake",2,NA,NA,NA,NA,NA,NA
NA,"Kennedy Lake (Clay)",33,NA,NA,NA,NA,NA,NA
NA,"Kennedy Lake (Main)",4,24,26,28,0.1,0.16,0.2
NA,"Kitlope Lake",2,NA,NA,NA,NA,NA,NA
NA,"Long Lake",38,NA,NA,NA,NA,NA,NA
NA,"Lowe Lake",12,NA,NA,NA,NA,NA,NA
NA,"Morice Lake",4,NA,NA,NA,NA,NA,NA
NA,"Muriel Lake",2,NA,NA,NA,NA,NA,NA
NA,"Nimpkish Lake",5,NA,NA,NA,NA,NA,NA
NA,"Port John Lake",1,97,97,97,11.62,11.62,11.62
NA,"Simpson Lake",1,NA,NA,NA,NA,NA,NA
NA,"Sproat Lake",2,NA,NA,NA,NA,NA,NA
NA,"Stephens Lake",2,NA,NA,NA,NA,NA,NA
NA,"Swan Lake",1,NA,NA,NA,NA,NA,NA
NA,"Vernon Lake",2,NA,NA,NA,NA,NA,NA
NA,"Woss Lake",1,NA,NA,NA,NA,NA,NA
