"lake_name","ats_year","n_surveys"
"Woss Lake",1991,1
"Woss Lake",1992,2
"Yakoun Lake",1982,1
"Yakoun Lake",1983,2
"Yakoun Lake",1984,2
"Yakoun Lake",1985,1
"Yakoun Lake",1986,2
"Yakoun Lake",1987,2
"Yakoun Lake",1988,2
"Yakoun Lake",1989,2
"Yakoun Lake",1990,2
"Yakoun Lake",1991,1
"Yakoun Lake",1992,1
"Yakoun Lake",1996,1
"Yakoun Lake",1997,1
