"Lake name","Lake code","Depth min m","Depth max m","Area ha","Transect","Transect length m","Lake latitude","Lake longitude"
"Bear Lake",16,5,10,1084,2,1170,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,5,10,1084,3,306,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,5,10,1084,4,676,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,5,10,1084,5,521,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,5,10,1084,6,305,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,1,364,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,2,615,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,3,232,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,4,624,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,5,509,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,10,15,723,6,284,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,1,213,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,2,248,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,3,153,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,4,412,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,5,484,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,15,20,540,6,263,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,1,73,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,2,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,3,43,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,4,92,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,5,453,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,20,30,363,6,200,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,1,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,2,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,3,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,4,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,5,391,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,30,40,168,6,200,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,40,50,70,1,0,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,40,50,70,2,0,"56 deg 08 min","126 deg 49 min"
