"Lake name","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"Long Lake (A)","1 | 0","1 | 0","1 | 0","3 | 0","2 | 0","3 | 0","4 | 0","2 | 0","3 | 0","4 | 0","2 | 0","1 | 0","3 | 0","3 | 7","1 | 0","2 | 0","2 | 0","1 | 0","1 | 0","1 | 0","2 | 1","1 | 1","1 | 2","1 | 0","2 | 0","1 | 0","1 | 0","-","1 | 0","1 | 0","2 | 0"
"Long Lake (B)","1 | 0","2 | 0","1 | 0","3 | 0","2 | 0","3 | 0","4 | 0","2 | 0","3 | 0","4 | 0","2 | 0","1 | 0","3 | 0","2 | 6","1 | 0","2 | 0","2 | 0","1 | 0","1 | 0","1 | 0","2 | 0","1 | 3","1 | 1","1 | 0","2 | 0","2 | 0","1 | 0","-","1 | 0","1 | 0","2 | 0"
"Lowe Lake","-","1 | 1","2 | 4","1 | 2","1 | 2","1 | 1","1 | 1","1 | 1","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maggie Lake","-","-","-","-","-","-","-","-","-","-","-","2 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mathers Lake","-","-","-","-","-","-","-","1 | 2","1 | 2","-","-","-","-","-","-","-","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Megin Lake","-","-","-","-","-","-","-","1 | 3","1 | 1","-","1 | 1","-","-","-","-","-","1 | 1","2 | 0","2 | 3","-","-","-","-","-","-","-","-","-","-","-","-"
"Mercer Lake","-","-","0 | 2","1 | 1","1 | 1","1 | 1","1 | 1","1 | 2","-","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Meziadin Lake","-","0 | 3","-","-","-","-","-","-","-","-","-","-","-","-","1 | 2","0 | 1","0 | 4","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morice Lake","-","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morrison Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-"
"Muchalat Lake","-","-","-","-","-","-","1 | 1","1 | 2","1 | 1","2 | 1","1 | 1","0 | 2","-","-","-","-","1 | 1","2 | 1","3 | 2","-","-","-","-","-","-","-","-","-","-","-","-"
"Muriel Lake","-","-","-","-","-","1 | 1","3 | 3","2 | 2","5 | 7","6 | 8","6 | 13","4 | 8","4 | 5","2 | 6","-","-","-","-","3 | 0","1 | 0","2 | 1","-","1 | 0","2 | 0","1 | 0","1 | 0","-","-","-","-","-"
"Nahmint Lake","-","-","-","-","-","-","-","-","-","1 | 1","3 | 4","1 | 4","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nahwitti Lake","-","-","-","-","-","-","-","1 | 1","1 | 2","-","1 | 2","1 | 1","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nahwitti_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
"Nakina Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nimpkish Lake","-","1 | 1","1 | 1","1 | 2","2 | 3","3 | 8","3 | 9","2 | 4","3 | 4","2 | 3","2 | 8","1 | 2","2 | 1","1 | 3","1 | 2","1 | 0","1 | 0","1 | 0","1 | 0","-","1 | 0","-","-","-","1 | 0","3 | 0","1 | 0","-","-","-","-"
"Osoyoos Lake C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","3 | 0","-","-","-","-","-","-","-","-","-"
"Osoyoos Lake N","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3 | 0","4 | 0","3 | 0","4 | 0","3 | 0","4 | 0","3 | 0","2 | 0","5 | 0","3 | 0","2 | 0"
"Osoyoos Lake S","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","2 | 0","-","-","-","-","-","-","-","-","-"
"Osoyoos_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","1 | 0","2 | 0"
"Owikeno Lake","-","0 | 2","-","-","-","-","-","-","-","-","0 | 3","0 | 3","0 | 4","0 | 8","0 | 7","0 | 8","-","-","0 | 7","0 | 4","-","-","-","-","-","-","-","-","-","-","-"
"Owikeno Lake (A)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","1 | 0","-","-","-","-","-","1 | 0","1 | 0","-","1 | 0","1 | 0","1 | 0"
"Owikeno Lake (B)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","1 | 0","-","-","-","-","-","1 | 0","2 | 0","-","-","1 | 0","1 | 0"
"Owikeno Lake (C)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","-","1 | 0","-","-","-","-","-"
"Owikeno Lake (D)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","1 | 0","-","-","-","-","-","1 | 0","-","-","-","-","-"
"Phillips Lake","-","-","-","-","-","-","-","1 | 1","1 | 1","1 | 3","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Phillips_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
"Port John Lake","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Power Lake","-","-","-","-","-","-","-","-","1 | 1","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Quatse Lake","-","-","-","-","-","-","-","1 | 1","1 | 3","2 | 2","1 | 2","1 | 2","2 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Quatse_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
"Ruby Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-"
"Sakinaw Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-"
"Schoen Lake","-","1 | 0","-","-","-","-","-","-","-","-","1 | 2","1 | 2","1 | 0","-","1 | 0","1 | 1","1 | 0","1 | 0","-","1 | 0","1 | 0","-","-","1 | 0","-","-","-","-","-","-","-"
"Simpson Lake","-","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Skaha Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","4 | 0","3 | 0","5 | 0","3 | 0","6 | 0","7 | 0","3 | 0","2 | 0"
"Skaha_2007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0"
"Skidegate Lake","-","-","-","-","-","-","-","-","0 | 1","0 | 1","0 | 4","0 | 1","0 | 4","0 | 2","0 | 1","0 | 3","0 | 1","-","-","0 | 1","0 | 1","-","-","-","-","-","-","-","-","-","-"
"Skidegate Lake NE","-","-","-","-","-","-","-","-","1 | 0","1 | 0","2 | 0","1 | 0","2 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","-","-","-","1 | 0","-","-","-","-"
"Skidegate Lake SW","-","-","-","-","-","-","-","-","1 | 0","1 | 0","2 | 0","1 | 0","2 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","-","-","-","1 | 0","-","-","-","-"
"Sproat Lake","-","-","1 | 4","1 | 2","3 | 3","3 | 5","2 | 5","1 | 2","2 | 1","4 | 7","3 | 7","1 | 0","4 | 6","9 | 6","3 | 5","3 | 5","3 | 0","2 | 0","4 | 1","3 | 6","3 | 1","2 | 0","3 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","-"
"Sproat Lake (Two R)","-","-","-","-","-","-","-","-","-","-","-","-","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Stephens Lake","-","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sustut Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Swan Lake","-","0 | 3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-"
"Tahltan Lake","-","-","-","-","-","-","-","-","1 | 1","-","-","1 | 0","0 | 8","-","1 | 3","0 | 4","1 | 3","1 | 0","-","1 | 0","1 | 0","-","1 | 0","-","-","-","-","-","-","-","-"
"Takla Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tatsamenie Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 | 5","1 | 2","1 | 3","1 | 0","1 | 0","1 | 0","4 | 0","4 | 0","1 | 0","2 | 0","3 | 0","2 | 0","1 | 0","1 | 0","1 | 0","-","-"
"Trapper Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 5","-","1 | 0","1 | 0","1 | 0","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
"Tuya Lake","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","1 | 0","1 | 0","1 | 0","1 | 0","2 | 0","1 | 0","1 | 0","1 | 0","-","-","1 | 0","1 | 0","-","-","-"
"Uchuck Lake","-","-","-","-","-","-","-","-","-","-","-","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vernon Lake","-","1 | 1","-","0 | 1","-","-","-","-","-","1 | 2","1 | 1","1 | 1","1 | 0","1 | 2","1 | 1","1 | 1","1 | 0","1 | 0","1 | 0","1 | 0","1 | 0","-","-","6 | 0","4 | 0","7 | 0","3 | 0","3 | 0","4 | 0","3 | 0","3 | 0"
"Village Bay_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
"Woss Lake","-","1 | 1","1 | 2","1 | 1","2 | 3","2 | 2","3 | 4","2 | 3","2 | 1","2 | 2","1 | 1","1 | 2","2 | 4","1 | 2","1 | 1","1 | 2","2 | 0","1 | 0","1 | 0","1 | 0","1 | 0","-","-","6 | 0","6 | 0","8 | 0","4 | 0","4 | 0","4 | 0","3 | 0","4 | 0"
"Yakoun Lake","-","-","-","-","-","1 | 1","2 | 2","1 | 2","1 | 1","2 | 2","1 | 2","1 | 2","2 | 2","1 | 2","1 | 1","1 | 1","1 | 0","2 | 0","3 | 0","3 | 1","1 | 1","2 | 0","1 | 0","-","-","-","1 | 0","-","-","-","-"
