"lk.name","lake_code","depth_min","depth_max","Area","Transect","Length","lake_name","lake_latitude","lake_longitude"
"Bear Lk",16,5,10,1084,3,306,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,5,10,1084,4,676,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,5,10,1084,5,521,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,5,10,1084,6,305,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,1,364,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,2,615,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,3,232,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,4,624,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,5,509,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,10,15,723,6,284,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,1,213,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,2,248,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,3,153,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,4,412,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,5,484,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,15,20,540,6,263,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,1,73,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,2,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,3,43,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,4,92,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,5,453,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,20,30,363,6,200,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,1,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,2,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,3,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,4,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,5,391,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,30,40,168,6,200,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,1,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,2,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,3,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,4,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,5,273,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,40,50,70,6,114,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,1,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,2,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,3,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,4,0,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,5,143,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,50,60,50,6,51,"Bear Lake","56 deg 08 min","126 deg 49 min"
NA,199,NA,NA,NA,NA,NA,"Bernard Pt.",NA,NA
NA,91,NA,NA,NA,NA,NA,"Bigkalzas Lake","63 deg 15 min","134 deg 35 min"
NA,116,NA,NA,NA,NA,NA,"Black Lake","48 deg 46 min","124 deg 54 min"
NA,34,NA,NA,NA,NA,NA,"Bonanza Lake","50 deg 22 min","126 deg 46 min"
"BONILLA LAKE",31,2,5,207,1,273,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,2,5,207,2,668,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,2,5,207,3,672,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,2,5,207,4,225,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
"BONILLA LAKE",31,3,5,207,1,273,"Bonilla Lake","53 deg 31 min","130 deg 15 min"
