

 107                   : lake code
20-30  12     15  0.99  0.01
20-30  13      4  0.99  0.01
20-30  14      2  0.99  0.01
20-30  15      9  0.99  0.01
20-30  16     20  0.99  0.01
20-30  17      8  0.99  0.01
20-30  18     17  0.99  0.01
30-40   1      0  0.99  0.01
30-40   2      0  0.99  0.01
30-40   3      2  0.99  0.01
30-40   4      0  0.99  0.01
30-40   5      2  0.99  0.01
30-40   6      3  0.99  0.01
30-40   7      1  0.99  0.01
30-40   8      0  0.99  0.01
30-40   9      3  0.99  0.01
30-40  10      0  0.99  0.01
30-40  11      4  0.99  0.01
30-40  12      2  0.99  0.01
30-40  13      1  0.99  0.01
30-40  14      2  0.99  0.01
30-40  15      1  0.99  0.01
30-40  16      2  0.99  0.01
30-40  17      2  0.99  0.01
30-40  18      1  0.99  0.01
40-50   1      0  0.99  0.01
40-50   2      0  0.99  0.01
40-50   3      1  0.99  0.01
40-50   4      0  0.99  0.01
40-50   5      0  0.99  0.01
40-50   6      1  0.99  0.01
40-50   7      0  0.99  0.01
40-50   8      0  1.00  0.00
40-50   9      0  1.00  0.00
40-50  10      0  1.00  0.00
40-50  11      0  1.00  0.00
40-50  12      0  1.00  0.00
40-50  13      0  1.00  0.00
40-50  14      0  1.00  0.00
40-50  15      0  1.00  0.00
40-50  16      0  1.00  0.00
40-50  17      0  1.00  0.00
40-50  18      0  1.00  0.00
50-60   1      0  0.99  0.01
50-60   2      0  0.99  0.01
50-60   3      0  0.99  0.01
50-60   4      1  0.99  0.01
50-60   5      0  0.99  0.01
50-60   6      1  0.99  0.01
50-60   7      0  0.99  0.01
50-60   8      0  1.00  0.00
50-60   9      0  1.00  0.00
50-60  10      0  1.00  0.00
50-60  11      0  1.00  0.00
50-60  12      0  1.00  0.00
50-60  13      0  1.00  0.00
50-60  14      0  1.00  0.00
50-60  15      0  1.00  0.00
50-60  16      0  0.00  0.00
50-60  17      0  1.00  0.00
50-60  18      0  1.00  0.00
