"lk.name","lk.code","depth_min","depth_max","Area","Transect","Length"
"DEVON LAKE",29,3,5,167,5,894
"DEVON LAKE",29,3,5,167,6,900
"DEVON LAKE",29,3,5,167,7,1100
"DEVON LAKE",29,5,10,152,1,382
"DEVON LAKE",29,5,10,152,2,616
"DEVON LAKE",29,5,10,152,3,482
"DEVON LAKE",29,5,10,152,4,496
"DEVON LAKE",29,5,10,152,5,876
"DEVON LAKE",29,5,10,152,6,857
"DEVON LAKE",29,5,10,152,7,1072
"DEVON LAKE",29,10,15,141,1,369
"DEVON LAKE",29,10,15,141,2,597
"DEVON LAKE",29,10,15,141,3,467
"DEVON LAKE",29,10,15,141,4,483
"DEVON LAKE",29,10,15,141,5,857
"DEVON LAKE",29,10,15,141,6,814
"DEVON LAKE",29,10,15,141,7,1024
"DEVON LAKE",29,15,20,131,1,356
"DEVON LAKE",29,15,20,131,2,562
"DEVON LAKE",29,15,20,131,3,451
"DEVON LAKE",29,15,20,131,4,458
"DEVON LAKE",29,15,20,131,5,844
"DEVON LAKE",29,15,20,131,6,763
"DEVON LAKE",29,15,20,131,7,955
"DEVON LAKE",29,20,30,112,1,334
"DEVON LAKE",29,20,30,112,2,466
"DEVON LAKE",29,20,30,112,3,424
"DEVON LAKE",29,20,30,112,4,388
"DEVON LAKE",29,20,30,112,5,820
"DEVON LAKE",29,20,30,112,6,651
"DEVON LAKE",29,20,30,112,7,643
"DEVON LAKE",29,30,40,68,1,306
"DEVON LAKE",29,30,40,68,2,108
"DEVON LAKE",29,30,40,68,3,272
"DEVON LAKE",29,30,40,68,4,277
"DEVON LAKE",29,30,40,68,5,615
"DEVON LAKE",29,30,40,68,6,0
"DEVON LAKE",29,30,40,68,7,436
"DEVON LAKE",29,40,50,26,1,274
"DEVON LAKE",29,40,50,26,2,0
"DEVON LAKE",29,40,50,26,3,106
"DEVON LAKE",29,40,50,26,4,104
"DEVON LAKE",29,40,50,26,5,0
"DEVON LAKE",29,40,50,26,6,0
"DEVON LAKE",29,40,50,26,7,401
"DEVON LAKE",29,50,60,10,1,0
"DEVON LAKE",29,50,60,10,2,0
"DEVON LAKE",29,50,60,10,3,0
"DEVON LAKE",29,50,60,10,4,0
"DEVON LAKE",29,50,60,10,5,0
"DEVON LAKE",29,50,60,10,6,0
"DEVON LAKE",29,50,60,10,7,0
"DEVON LAKE",29,60,70,4,1,0
"DEVON LAKE",29,60,70,4,2,0
"DEVON LAKE",29,60,70,4,3,0
"DEVON LAKE",29,60,70,4,4,0
"DEVON LAKE",29,60,70,4,5,0
"DEVON LAKE",29,60,70,4,6,0
"DEVON LAKE",29,60,70,4,7,0
"Damdochax Lk",38,2,5,134.5,1,370
"Damdochax Lk",38,2,5,134.5,2,587
"Damdochax Lk",38,2,5,134.5,3,614
"Damdochax Lk",38,2,5,134.5,4,677
"Damdochax Lk",38,3,5,125,1,361
"Damdochax Lk",38,3,5,125,2,583
"Damdochax Lk",38,3,5,125,3,614
"Damdochax Lk",38,3,5,125,4,667
