lake_code,lake_name,lake_latitude,lake_longitude
124,No-Name Lake,52 deg 00 min,120 deg 32 min
237,Osoyoos Lake,49 deg 01 min,119 deg 27 min
239,Osoyoos Lake C,49 deg 01 min,119 deg 27 min
238,Osoyoos Lake N,49 deg 08 min,119 deg 29 min
240,Osoyoos Lake S,48 deg 58 min,119 deg 26 min
219,Oweegee Lake,NA,NA
18,Owikeno Lake,51 deg 41 min,126 deg 55 min
228,Owikeno Lake (A),51 deg 41 min,126 deg 55 min
229,Owikeno Lake (B),51 deg 41 min,126 deg 55 min
230,Owikeno Lake (C),51 deg 41 min,126 deg 55 min
231,Owikeno Lake (D),51 deg 41 min,126 deg 55 min
73,Patterson Lake,50 deg 04 min,125 deg 40 min
59,Phillips Lake,50 deg 35 min,125 deg 21 min
76,Pitt Lake,49 deg 25 min,122 deg 33 min
200,Polly Pt.,NA,NA
110,Port John Lake,52 deg 07 min,127 deg 49 min
157,Power Lake,50 deg 12 min,127 deg 29 min
60,Quatansta Lake,53 deg 31 min,130 deg 14 min
122,Quatse Lake,50 deg 38 min,127 deg 34 min
80,Quesnel Lake,52 deg 31 min,121 deg 00 min
101,Quiet Lake,61 deg 05 min,133 deg 05 min
208,Rainy Bay,NA,NA
183,Red Bluff Lake,53 deg 27 min,129 deg 35 min
141,Robertson Creek,49 deg 20 min,124 deg 59 min
222,Roderick Lake,52 deg 36 min,128 deg 21 min
210,Rutley Is.,NA,NA
61,Sakinaw Lake,49 deg 41 min,124 deg 02 min
232,Sand R,NA,NA
24,Schoen Lake,50 deg 10 min,126 deg 16 min
102,Sekulmun Lake,61 deg 26 min,137 deg 33 min
85,Seton Lake,50 deg 43 min,122 deg 10 min
77,Shuswap Lake,50 deg 57 min,119 deg 10 min
19,Simpson Lake,53 deg 37 min,129 deg 33 min
241,Skaha Lake,49 deg 24 min,119 deg 35 min
62,Skidegate Lake,53 deg 05 min,131 deg 56 min
156,Skidegate Lake NE,53 deg 05 min,131 deg 54 min
155,Skidegate Lake SW,53 deg 05 min,131 deg 58 min
191,Smokehouse Ck,NA,NA
103,Snafu Lake,60 deg 11 min,133 deg 26 min
140,Somass River,49 deg 14 min,124 deg 49 min
2,Sproat Lake,49 deg 14 min,125 deg 06 min
164,Sproat Lake (Outlt),49 deg 16 min,124 deg 59 min
163,Sproat Lake (Strlng),49 deg 15 min,124 deg 55 min
160,Sproat Lake (Taylor),49 deg 17 min,125 deg 03 min
159,Sproat Lake (Two R),49 deg 15 min,125 deg 00 min
194,Sproat Narrows,NA,NA
142,Sproat River,49 deg 18 min,124 deg 53 min
138,Squalicum Lake,48 deg 45 min,124 deg 49 min
125,Stamp Falls,49 deg 20 min,124 deg 55 min
9,Stamp R,49 deg 19 min,124 deg 55 min
14,Stephens Lake,55 deg 45 min,128 deg 35 min
63,Stuart Lake,54 deg 36 min,124 deg 45 min
225,Sustut Lake,NA,NA
204,Swale Rock,NA,NA
13,Swan Lake,55 deg 46 min,128 deg 39 min
184,Sylvia Lake,53 deg 31 min,129 deg 38 min
64,Tahltan Lake,57 deg 57 min,131 deg 37 min
65,Takla Lake,55 deg 23 min,125 deg 50 min
186,Tankeeah R,NA,NA
78,Taseko Lake,51 deg 15 min,123 deg 35 min
66,Tatsamenie Lake,58 deg 20 min,132 deg 20 min
133,Taye Lake,60 deg 56 min,136 deg 21 min
112,Toquart Lake,49 deg 05 min,125 deg 21 min
67,Trapper Lake,58 deg 28 min,132 deg 38 min
68,Trembleur Lake,54 deg 49 min,125 deg 09 min
137,Tsusiat Lake,48 deg 44 min,124 deg 53 min
175,Tuya Lake,59 deg 05 min,130 deg 34 min
104,Twin Lake,61 deg 42 min,135 deg 59 min
235,U Kennedy R M74,NA,NA
115,Uchuck Lake,49 deg 02 min,125 deg 05 min
202,Underwood Cove,NA,NA
130,Upper Mikado Lake,53 deg 28 min,129 deg 48 min
201,Vernon Bay,NA,NA
23,Vernon Lake,50 deg 62 min,126 deg 26 min
192,Wannock R,NA,NA
71,Weare Lake,53 deg 34 min,129 deg 29 min
105,Wellesley Lake,62 deg 21 min,139 deg 49 min
106,Wolf Lake,60 deg 39 min,131 deg 40 min
22,Woss Lake,50 deg 08 min,126 deg 38 min
134,Wyclees Lagoon,51 deg 15 min,127 deg 21 min
69,Yakoun Lake,53 deg 19 min,132 deg 17 min
888,Wenatchee Lake,NA,NA
