source_file,lake,lake_code,survey_date,sounder_type,sounder_gain,acoustic_survey_notes
TARGET06.DAT,Henderson Lk        Hanslit-OBrien Survey,3,2006-09-19,SIMRAD               2,NA,19Sep06/14Nov06/BH/EY500/0/0/0/15/23/35
TARGET06.DAT,KCA,40,2007-01-15,SIMRAD               2,10,"100pctcld,modrn,modwnd"
TARGET06.DAT,KMA,41,2007-01-15,SIMRAD               2,10,"100pctcld,modrn,modwnd"
TARGET06.DAT,Long Lk (A)         Hanslit-Bachen Survey,801,2007-02-19,SIMRAD               2,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/7/116/183
TARGET06.DAT,Long Lk (A)         Hanslit-Bachen Survey,801,2007-02-20,SIMRAD               2,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/7/116/183
TARGET06.DAT,Long Lk (B)         Hanslit-Bachen Survey,802,2007-02-19,SIMRAD               2,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/56/45
TARGET06.DAT,Long Lk (B)         Hanslit-Bachen Survey,802,2007-02-20,SIMRAD               2,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/56/45
TARGET06.DAT,Osoyoos Lk (N)      Barry-Elliot Survey,238,2006-11-22,SIMRAD               2,NA,EY500 22Nov06/30Nov06/BY/EY500/No Trawls
TARGET06.DAT,Osoyoos Lk (N)      Hanslit-ONFA Survey,238,2006-05-17,SIMRAD               2,NA,17May06/20Nov06/BH/EY500/Only transects done
TARGET06.DAT,Osoyoos Lk (N)      Hanslit-ONFA Survey,238,2007-03-14,SIMRAD               2,10,14Mar07/19Mar07/BH/EYM/20101/0/0/0/1/250/0
TARGET06.DAT,Osoyoos_2005        Hanslit-ONFA Survey,251,2007-03-14,SIMRAD               2,10,14Mar07/19Mar07/BH/EYM/20101/0/0/0/1/250/0
TARGET06.DAT,Owikeno Lk (A)      Hanslit-Bachen Survey,228,2007-02-14,SIMRAD               2,NA,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154
TARGET06.DAT,Owikeno Lk (A)      Hanslit-Bachen Survey,228,2007-02-15,SIMRAD               2,NA,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154
TARGET06.DAT,Owikeno Lk (B)      Hanslit-Bachen Survey,229,2004-02-04,SIMRAD               2,10,4Feb04/23Mar07/EYM/20069/0/0/0/20/937/217
TARGET06.DAT,Owikeno Lk (B)      Hanslit-Bachen Survey,229,2004-02-14,SIMRAD               2,10,4Feb04/23Mar07/EYM/20069/0/0/0/20/937/217
TARGET06.DAT,Owikeno Lk (B)      Hanslit-Bachen Survey,229,2007-02-14,SIMRAD               2,10,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154
TARGET06.DAT,Owikeno Lk (B)      Hanslit-Bachen Survey,229,2007-02-15,SIMRAD               2,10,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154
TARGET06.DAT,Skaha Lk            Barry-Elliot Survey,241,2006-11-23,SIMRAD               2,NA,23Nov06/31Nov06/BH/EY500/NoTrawls
TARGET06.DAT,Skaha Lk            Hanslit-ONFA,241,2006-06-26,SIMRAD               2,10,26Jun06/29Mar07/BH/EY500/0/0/0/
TARGET06.DAT,Skaha Lk            Hanslit-ONFA Survey,241,2007-02-26,SIMRAD               2,10,26Feb07/21Mar07/BH/EYM/20101/0/0/0/-
TARGET06.DAT,Sproat Lk           Rankin-Hanslit Survey,2,2007-02-07,SIMRAD               2,10,7Feb07/13Mar07/BH/EYM/20101/0/0/0/10/90/1
TARGET06.DAT,Vernon Lk           Hanslit-Bachen,23,2006-11-05,SIMRAD               2,NA,5Nov06/10Nov06/BH/EY500/0/0/0/4/28/0
TARGET06.DAT,Vernon Lk           Hanslit-Bachen Survey,23,2006-06-28,SIMRAD               2,NA,28Jun06/9Aug06/BH/EY500/0/0/0/3/87/0
TARGET06.DAT,Vernon Lk           Hanslit-Herriott Survey,23,2006-08-22,SIMRAD               2,NA,22Aug06/17Oct06/BH/EY500/0/0/0/6/79/0
TARGET06.DAT,Woss Lk             Hanslit-Bachen Survey,22,2006-07-03,SIMRAD               2,10,3Jul06/9Aug06/BH/EY500/0/0/0/3/60/0
TARGET06.DAT,Woss Lk             Hanslit-Bachen Survey,22,2006-08-23,SIMRAD               2,NA,23Aug06/6Sep06/BH/Ey500/0/0/0/6/18/0
TARGET06.DAT,Woss Lk             Hanslit-Bachen Survey,22,2006-11-02,SIMRAD               2,NA,2Nov06/10Nov06/BH/EY500/0/0/0/8/88/300
TARGET07.DAT,"Henderson Lk        Processed by Stephanie Chalmers July 24, 2007",3,2007-06-28,SIMRAD               2,10,"overcast, heavy rain and light wind"
