"lake","lake_code","ats_year","target_survey_code","target_survey_type","survey_date","survey_year","survey_month","transect","depth_code","depth_min","depth_max","targets","prop_sockeye","prop_stickleback","total_prop","transect_length","area","sounder_code","sounder_type","sounder_gain","data_issues","survey_comments","acoustic_survey_notes","key_field_replicate","source_file","line_number","sourcefile_year","source_year_err"
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,5,15,20,1,1,0,1,260,285,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5187,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,6,20,30,3,1,0,1,230,252,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",900,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,6,20,30,3,1,0,1,230,252,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5198,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,7,30,40,14,1,0,1,200,215,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",911,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,7,30,40,13,1,0,1,200,215,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5209,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,8,40,50,2,1,0,1,120,172,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",922,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,8,40,50,2,1,0,1,120,172,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5220,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,9,50,60,0,NA,NA,NA,0,25,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",933,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,2,9,50,60,0,NA,NA,NA,0,25,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5231,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,1,2,5,2,1,0,1,460,350,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",846,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,3,1,2,5,1,1,0,1,460,350,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5144,1989,FALSE
