"Lake","ATS Year","Date","Sounder Type","#Transects","#Targets","#Trawls","Surface Trawls","Trawl Time (min)","#Fish","#Sockeye","#Stickleback","Others"
"Cheewhat Lake","1990",1990-06-03,NA,NA,NA,5,1,0,31,26,5,0
"Cheewhat Lake","1990",1990-06-19,"SIMRAD               ",6,879,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1990",1990-06-20,NA,NA,NA,6,0,0,122,115,7,0
"Cheewhat Lake","1990",1990-06-25,"SIMRAD               ",6,757,6,0,0,76,74,2,0
"Cheewhat Lake","1990",1990-07-23,"SIMRAD               ",6,639,9,1,0,189,173,13,3
"Cheewhat Lake","1990",1990-08-07,"SIMRAD               ",6,837,7,2,0,113,108,5,0
"Cheewhat Lake","1990",1990-10-02,"SIMRAD               ",6,859,6,1,0,93,78,15,0
"Cheewhat Lake","1990",1990-10-03,"SIMRAD               ",6,859,3,1,0,50,45,5,0
"Cheewhat Lake","1990",1991-03-06,"SIMRAD               ",6,799,8,1,0,203,47,156,0
"Cheewhat Lake","1990",1991-03-07,NA,NA,NA,1,0,0,11,4,7,0
"Cheewhat Lake","1991",1991-06-06,"SIMRAD               ",6,1142,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1991",1991-07-22,"SIMRAD               ",6,1186,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1991",1991-07-23,NA,NA,NA,6,2,0,206,201,5,0
"Cheewhat Lake","1991",1991-10-11,"SIMRAD               ",6,1636,3,0,0,114,107,7,0
"Cheewhat Lake","1991",1992-02-19,"SIMRAD               ",6,1171,7,0,0,62,53,9,0
"Cheewhat Lake","1992",1992-06-17,"SIMRAD               ",6,662,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1992",1992-08-06,"SIMRAD               ",6,913,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1992",1992-11-30,"SIMRAD               ",6,567,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1992",1993-02-23,"SIMRAD               ",6,468,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1993",1993-07-13,"SIMRAD               ",6,561,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1993",1994-02-18,"SIMRAD               ",6,783,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1994-06-24,"SIMRAD               ",6,659,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1994-06-25,"SIMRAD               ",6,549,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1994-07-28,"SIMRAD               ",6,1270,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1994-07-29,"SIMRAD               ",6,1027,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1994-11-23,"SIMRAD               ",6,1280,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1994",1995-03-04,"SIMRAD               ",6,1516,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-06-24,"SIMRAD               ",6,737,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-06-25,"SIMRAD               ",6,884,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-06-26,"SIMRAD               ",6,715,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-07-28,"SIMRAD               ",6,1203,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-07-29,"SIMRAD               ",6,815,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1995-07-30,"SIMRAD               ",6,797,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1995",1996-02-16,"SIMRAD               ",6,1835,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1996",1996-07-31,"SIMRAD               ",6,1360,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1996",1996-08-01,NA,NA,NA,4,1,0,121,96,25,0
"Cheewhat Lake","1996",1996-09-01,"SIMRAD               ",6,1412,5,2,0,182,173,9,0
"Cheewhat Lake","1996",1997-02-07,"SIMRAD               ",6,1380,NA,NA,NA,NA,NA,NA,NA
"Cougar Lake","1988",1988-09-06,NA,NA,NA,2,0,0,3,3,0,0
"Cougar Lake","1988",1988-09-07,NA,NA,NA,2,0,0,6,6,0,0
"Curtis Lake","1979",1979-10-14,"FURUNO FM 22         ",4,1086,4,0,120,459,381,78,0
"Curtis Lake","1980",1980-09-21,"FURUNO FM 22         ",4,1693,3,0,90,512,90,422,0
"Curtis Lake","1980",1980-09-22,NA,NA,NA,2,0,60,688,601,87,0
"Curtis Lake","1981",1981-07-20,"FURUNO FM 22         ",4,1234,4,1,95,734,52,682,0
"Curtis Lake","1981",1981-09-21,"FURUNO FM 22         ",4,1389,2,1,30,195,27,168,0
"Curtis Lake","1981",1981-09-22,NA,NA,NA,2,0,45,158,91,67,0
"Curtis Lake","1982",1983-02-04,"FURUNO FM 22         ",4,1053,5,1,91,35,17,18,0
"Curtis Lake","1983",1983-09-08,"FURUNO FM 22         ",4,1089,3,1,55,187,82,105,0
"Curtis Lake","1983",1983-09-09,NA,NA,NA,2,0,25,42,10,32,0
"Curtis Lake","1984",1984-08-28,"FURUNO FM 22         ",4,1113,3,1,45,208,82,126,0
"Curtis Lake","1984",1984-08-29,NA,NA,NA,2,0,30,48,34,14,0
"Damdochax Lake","1991",1991-09-06,"SIMRAD               ",4,1087,4,1,0,79,79,0,0
"Damdochax Lake","1991",1991-09-07,NA,NA,NA,1,0,0,21,21,0,0
"Damdochax Lake","1992",1992-08-14,NA,NA,NA,2,0,0,14,14,0,0
"Damdochax Lake","1992",1992-08-15,NA,NA,NA,4,1,0,19,19,0,0
"Damdochax Lake","1992",1992-09-23,NA,NA,NA,5,0,0,113,67,0,46
"Damdochax Lake","1993",1993-09-28,NA,NA,NA,5,0,0,216,215,0,1
"Deer Lake","1988",1988-09-05,NA,NA,NA,2,0,0,3,3,0,0
"Devon Lake","1979",1979-10-08,"FURUNO FM 22         ",7,771,1,0,30,294,106,188,0
"Devon Lake","1979",1979-10-09,NA,NA,NA,2,0,45,459,222,237,0
"Devon Lake","1980",1980-09-20,"FURUNO   FM 22       ",7,529,5,0,140,2172,121,2051,0
"Devon Lake","1981",1981-09-22,"FURUNO FM 22         ",7,483,5,1,71,324,116,208,0
"Devon Lake","1982",1983-02-05,"FURUNO FM 22         ",7,850,5,1,75,212,99,112,1
"Devon Lake","1983",1983-09-09,"FURUNO FM 22         ",7,1373,5,1,65,203,123,80,0
"Devon Lake","1984",1984-08-29,"FURUNO FM 22         ",7,800,NA,NA,NA,NA,NA,NA,NA
"Devon Lake","1984",1984-08-30,NA,NA,NA,4,3,45,474,0,474,0
"Devon Lake","1984",1984-08-31,NA,NA,NA,7,0,70,833,95,738,0
"Devon Lake","1985",1985-09-08,"FURUNO FM 22         ",7,889,3,3,45,252,2,250,0
"Devon Lake","1985",1985-09-09,NA,NA,NA,8,0,120,831,25,806,0
"Devon Lake","1986",1986-09-07,"SIMRAD               ",7,8116,4,0,60,224,100,124,0
"Devon Lake","1986",1986-09-08,"SIMRAD               ",7,2879,9,3,135,503,101,402,0
"Devon Lake","1987",1987-07-30,"SIMRAD               ",7,6914,3,0,0,429,71,358,0
"Devon Lake","1987",1987-07-31,NA,NA,NA,6,3,0,302,115,187,0
"Devon Lake","1988",1988-07-30,"SIMRAD               ",7,2484,NA,NA,NA,NA,NA,NA,NA
"Devon Lake","1988",1988-07-31,NA,NA,NA,8,2,0,712,30,682,0
"Dragon Lake","1992",1992-08-17,NA,NA,NA,3,1,0,320,0,319,1
"Eden Lake","1979",1979-08-04,"FURUNO FM 22         ",4,333,1,0,30,13,13,0,0
"Eden Lake","1979",1979-08-05,NA,NA,NA,4,0,120,200,199,1,0
"Eden Lake","1980",1980-07-29,"FURUNO FM 22         ",4,194,NA,NA,NA,NA,NA,NA,NA
"Eden Lake","1980",1980-07-30,NA,NA,NA,5,1,150,83,81,2,0
"Eden Lake","1981",1981-10-07,"FURUNO FM 22         ",4,185,NA,NA,NA,NA,NA,NA,NA
