"survey_date","lake_name","ats_year","count_trawl","count_acoustic"
"1982-07-15","Kennedy Lake (Clay)",1982,136,160
"1982-07-16","Kennedy Lake (Clay)",1982,496,NA
"1982-07-20","Henderson Lake",1982,63,180
"1982-07-21","Henderson Lake",1982,11,NA
"1982-07-22","Nimpkish Lake",1982,129,88
"1982-07-23","Nimpkish Lake",1982,46,NA
"1982-07-25","Long Lake",1982,55,NA
"1982-07-26","Long Lake",1982,58,NA
"1982-08-09","Great Central Lake",1982,678,78
"1982-08-11","Henderson Lake",1982,112,NA
"1982-08-13","Hobiton Lake",1982,165,99
"1982-08-14","Hobiton Lake",1982,2,NA
"1982-08-16","Long Lake",1982,191,NA
"1982-08-18","Nimpkish Lake",1982,79,NA
"1982-08-19","Nimpkish Lake",1982,35,NA
"1982-08-20","Woss Lake",1982,302,NA
"1982-08-25","Sproat Lake",1982,13,121
"1982-08-26","Sproat Lake",1982,196,NA
"1982-08-27","Sproat Lake",1982,97,NA
"1982-09-14","Kennedy Lake (Main)",1982,980,150
"1982-09-15","Kennedy Lake (Clay)",1982,511,NA
"1982-09-15","Kennedy Lake (Main)",1982,370,NA
"1982-09-16","Kennedy Lake (Clay)",1982,127,NA
"1982-09-27","Awun Lake",1982,57,40
"1982-09-28","Awun Lake",1982,30,NA
"1982-09-29","Eden Lake",1982,100,40
"1982-10-01","Ian Lake",1982,8,NA
"1982-10-03","Yakoun Lake",1982,118,NA
"1982-10-04","Bonilla Lake",1982,524,32
"1982-10-20","Lowe Lake",1982,15,36
"1982-11-11","Great Central Lake",1982,111,78
"1982-11-17","Nimpkish Lake",1982,81,88
"1982-11-18","Nimpkish Lake",1982,22,NA
"1982-11-24","Long Lake",1982,109,NA
"1982-11-26","Long Lake",1982,10,NA
"1982-11-29","Woss Lake",1982,40,55
"1982-11-30","Henderson Lake",1982,93,180
"1982-12-01","Hobiton Lake",1982,32,99
"1983-01-18","Great Central Lake",1982,139,78
"1983-02-02","Mercer Lake",1982,447,42
"1983-02-04","Curtis Lake",1982,35,40
"1983-02-05","Devon Lake",1982,212,70
"1983-02-05","Great Central Lake",1982,324,NA
"1983-03-02","Sproat Lake",1982,57,121
"1983-03-03","Sproat Lake",1982,136,NA
"1983-03-09","Muriel Lake",1982,23,80
"1983-03-15","Hobiton Lake",1982,20,99
"1983-03-23","Kennedy Lake (Main)",1982,80,150
"1983-03-24","Kennedy Lake (Clay)",1982,135,NA
