"Lake","Code","Latitude","Longitude","Transect","Depth Min (m)","Depth Max (m)","Length (m)","Area (ha)"
"Brannen Lake",161,"49° 13' N","124° 03' W",4,10,15,538,45
"Brannen Lake",161,"49° 13' N","124° 03' W",4,15,20,0,19
"Brannen Lake",161,"49° 13' N","124° 03' W",5,2,5,1290,89
"Brannen Lake",161,"49° 13' N","124° 03' W",5,3,5,1290,89
"Brannen Lake",161,"49° 13' N","124° 03' W",5,5,10,1173,64
"Brannen Lake",161,"49° 13' N","124° 03' W",5,10,15,990,45
"Brannen Lake",161,"49° 13' N","124° 03' W",5,15,20,0,19
"Brannen Lake",161,"49° 13' N","124° 03' W",6,2,5,1156,89
"Brannen Lake",161,"49° 13' N","124° 03' W",6,3,5,1156,89
"Brannen Lake",161,"49° 13' N","124° 03' W",6,5,10,1034,64
"Brannen Lake",161,"49° 13' N","124° 03' W",6,10,15,660,45
"Brannen Lake",161,"49° 13' N","124° 03' W",6,15,20,267,19
"Cheewhat Lake",107,"48° 41' N","125° 45' W",1,2,5,721,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",1,3,5,721,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",1,5,10,485,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",1,10,15,0,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",1,15,20,0,14
"Cheewhat Lake",107,"48° 41' N","125° 45' W",2,2,5,843,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",2,3,5,843,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",2,5,10,455,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",2,10,15,301,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",2,15,20,0,14
"Cheewhat Lake",107,"48° 41' N","125° 45' W",3,2,5,811,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",3,3,5,811,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",3,5,10,630,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",3,10,15,464,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",3,15,20,315,14
"Cheewhat Lake",107,"48° 41' N","125° 45' W",4,2,5,743,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",4,3,5,743,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",4,5,10,614,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",4,10,15,517,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",4,15,20,348,14
"Cheewhat Lake",107,"48° 41' N","125° 45' W",5,2,5,478,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",5,3,5,478,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",5,5,10,372,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",5,10,15,239,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",5,15,20,0,14
"Cheewhat Lake",107,"48° 41' N","125° 45' W",6,2,5,1391,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",6,3,5,1391,140
"Cheewhat Lake",107,"48° 41' N","125° 45' W",6,5,10,1114,86
"Cheewhat Lake",107,"48° 41' N","125° 45' W",6,10,15,368,33
"Cheewhat Lake",107,"48° 41' N","125° 45' W",6,15,20,150,14
"Curtis Lake",28,"53° 30' N","129° 50' W",1,2,5,679,247
"Curtis Lake",28,"53° 30' N","129° 50' W",1,3,5,679,247
"Curtis Lake",28,"53° 30' N","129° 50' W",1,5,10,656,216
"Curtis Lake",28,"53° 30' N","129° 50' W",1,10,15,621,198
"Curtis Lake",28,"53° 30' N","129° 50' W",1,15,20,586,186
"Curtis Lake",28,"53° 30' N","129° 50' W",1,20,30,556,164
"Curtis Lake",28,"53° 30' N","129° 50' W",1,30,40,452,129
